ID INCIDENT;PERIMETRO BDT;CLASSE ITIL;PRIORITA DI APERTURA INCIDENT;Num. Passaggi;NUM Presa In Carico;Tempo medio di presa in carico;Tempo medio di gestione;Tempo totale di gestione incident;Rispetto SLA Competenza Gruppo;Sforamento SLA (ore);Data creazione
INC017812103;NO;INCIDENT;5 - Pianificabile;12;6;166;94;1132;SI;;25/07/2024
INC018072816;NO;SERVICE REQUEST;5 - Pianificabile;12;5;31;1590;17497;N.A.;;27/08/2024
INC018413342;SI;SERVICE REQUEST;5 - Pianificabile;2;1;155;137;274;N.A.;;02/10/2024
INC018414829;SI;INCIDENT;5 - Pianificabile;2;1;3;10;20;SI;;02/10/2024
INC018494120;NO;SERVICE REQUEST;5 - Pianificabile;2;1;37;19;38;N.A.;;09/10/2024
INC018545548;SI;SERVICE REQUEST;3 - Moderato;2;1;67;790;1581;N.A.;;15/10/2024
INC018547249;SI;INCIDENT;5 - Pianificabile;2;1;9;5;10;SI;;15/10/2024
INC018573540;SI;SERVICE REQUEST;3 - Moderato;5;2;30;9738;38954;N.A.;;17/10/2024
INC018584199;SI;SERVICE REQUEST;5 - Pianificabile;8;4;14;587;4698;N.A.;;18/10/2024
INC018654492;SI;SERVICE REQUEST;5 - Pianificabile;4;2;55;78;313;N.A.;;25/10/2024
INC018730354;SI;SERVICE REQUEST;5 - Pianificabile;4;2;31;288;1153;N.A.;;04/11/2024
INC018767891;SI;SERVICE REQUEST;5 - Pianificabile;2;1;2;505;1011;N.A.;;06/11/2024
INC018883218;NO;INCIDENT;3 - Moderato;2;1;2;1219;2439;NO;8,65;18/11/2024
INC018925238;SI;SERVICE REQUEST;3 - Moderato;18;9;121;285;5144;N.A.;;21/11/2024
INC018936805;NO;SERVICE REQUEST;5 - Pianificabile;2;1;37;5000;10001;N.A.;;22/11/2024
INC018943333;NO;SERVICE REQUEST;3 - Moderato;2;1;17;7867;15735;N.A.;;22/11/2024
INC018951084;NO;SERVICE REQUEST;5 - Pianificabile;6;3;20;218;1313;N.A.;;25/11/2024
INC018955301;NO;SERVICE REQUEST;3 - Moderato;2;1;37;2187;4374;N.A.;;25/11/2024
INC018956928;SI;INCIDENT;5 - Pianificabile;4;2;55;1018;4075;SI;;25/11/2024
INC018961414;NO;INCIDENT;3 - Moderato;2;1;6;1969;3939;NO;33,65;25/11/2024
INC018969268;SI;SERVICE REQUEST;5 - Pianificabile;2;1;58;738;1476;N.A.;;26/11/2024
INC018971187;SI;SERVICE REQUEST;5 - Pianificabile;2;1;11;25;51;N.A.;;26/11/2024
INC018971637;NO;SERVICE REQUEST;3 - Moderato;2;1;121;2205;4410;N.A.;;26/11/2024
INC018972390;SI;SERVICE REQUEST;5 - Pianificabile;2;1;43;736;1472;N.A.;;26/11/2024
INC018973016;NO;SERVICE REQUEST;5 - Pianificabile;12;5;14;744;7446;N.A.;;26/11/2024
INC018974674;NO;SERVICE REQUEST;5 - Pianificabile;2;1;11;2115;4230;N.A.;;26/11/2024
INC018976065;NO;SERVICE REQUEST;5 - Pianificabile;2;1;6;1233;2467;N.A.;;26/11/2024
INC018976816;SI;SERVICE REQUEST;5 - Pianificabile;2;1;30;45;90;N.A.;;26/11/2024
INC018980463;SI;SERVICE REQUEST;5 - Pianificabile;2;1;5;2701;5402;N.A.;;27/11/2024
INC018981130;SI;INCIDENT;5 - Pianificabile;4;2;17;1743;6975;NO;28,25;27/11/2024
INC018981865;NO;SERVICE REQUEST;3 - Moderato;2;1;7;706;1413;N.A.;;27/11/2024
INC018982496;SI;SERVICE REQUEST;5 - Pianificabile;2;1;46;596;1192;N.A.;;27/11/2024
INC018983283;NO;SERVICE REQUEST;5 - Pianificabile;2;1;60;46;92;N.A.;;27/11/2024
INC018983683;SI;SERVICE REQUEST;5 - Pianificabile;2;1;17;683;1366;N.A.;;27/11/2024
INC018984747;SI;SERVICE REQUEST;5 - Pianificabile;2;1;16;4282;8565;N.A.;;27/11/2024
INC018985131;NO;SERVICE REQUEST;5 - Pianificabile;8;4;24;912;7298;N.A.;;27/11/2024
INC018985828;SI;SERVICE REQUEST;5 - Pianificabile;2;1;848;3441;6882;N.A.;;27/11/2024
INC018985911;SI;SERVICE REQUEST;5 - Pianificabile;8;4;26;156;1253;N.A.;;27/11/2024
INC018986301;NO;INCIDENT;4 - Basso;6;3;30;208;1253;SI;;27/11/2024
INC018987742;SI;SERVICE REQUEST;5 - Pianificabile;4;2;32;1428;5715;N.A.;;27/11/2024
INC018992767;SI;SERVICE REQUEST;5 - Pianificabile;2;1;6;3537;7075;N.A.;;28/11/2024
INC018994097;NO;SERVICE REQUEST;5 - Pianificabile;2;1;11;6;12;N.A.;;28/11/2024
INC018994478;SI;SERVICE REQUEST;5 - Pianificabile;2;1;37;631;1263;N.A.;;28/11/2024
INC018995389;SI;SERVICE REQUEST;5 - Pianificabile;2;1;28;2919;5838;N.A.;;28/11/2024
INC018995655;SI;SERVICE REQUEST;5 - Pianificabile;2;1;13;55;110;N.A.;;28/11/2024
INC018998005;NO;SERVICE REQUEST;5 - Pianificabile;4;2;5;1810;7242;N.A.;;28/11/2024
INC018998875;SI;SERVICE REQUEST;5 - Pianificabile;2;1;848;4100;8201;N.A.;;28/11/2024
INC018999203;NO;SERVICE REQUEST;3 - Moderato;5;2;59;2562;10250;N.A.;;28/11/2024
INC019000020;SI;SERVICE REQUEST;5 - Pianificabile;2;1;29;2169;4338;N.A.;;28/11/2024
INC019000063;SI;SERVICE REQUEST;5 - Pianificabile;2;1;13;4158;8317;N.A.;;28/11/2024
INC019000109;SI;SERVICE REQUEST;5 - Pianificabile;10;5;15;1097;10972;N.A.;;28/11/2024
INC019000786;SI;SERVICE REQUEST;5 - Pianificabile;2;1;21;3657;7315;N.A.;;28/11/2024
INC019002330;SI;SERVICE REQUEST;5 - Pianificabile;2;1;80;3687;7375;N.A.;;28/11/2024
INC019003054;NO;SERVICE REQUEST;5 - Pianificabile;4;2;48;1809;7236;N.A.;;28/11/2024
INC019005428;SI;SERVICE REQUEST;3 - Moderato;2;1;2;3760;7521;N.A.;;29/11/2024
INC019005655;SI;SERVICE REQUEST;5 - Pianificabile;2;1;28;3741;7482;N.A.;;29/11/2024
INC019005708;SI;SERVICE REQUEST;5 - Pianificabile;2;1;14;3771;7543;N.A.;;29/11/2024
INC019005802;SI;SERVICE REQUEST;5 - Pianificabile;2;1;9;4264;8529;N.A.;;29/11/2024
INC019006193;SI;SERVICE REQUEST;5 - Pianificabile;2;1;2;3725;7450;N.A.;;29/11/2024
INC019006350;SI;SERVICE REQUEST;5 - Pianificabile;2;1;20;4285;8570;N.A.;;29/11/2024
INC019006550;SI;SERVICE REQUEST;5 - Pianificabile;2;1;18;3748;7496;N.A.;;29/11/2024
INC019006689;SI;SERVICE REQUEST;5 - Pianificabile;2;1;19;3748;7497;N.A.;;29/11/2024
INC019007077;SI;SERVICE REQUEST;5 - Pianificabile;2;1;8;4275;8551;N.A.;;29/11/2024
INC019007239;SI;SERVICE REQUEST;5 - Pianificabile;2;1;7;2142;4284;N.A.;;29/11/2024
INC019009507;NO;SERVICE REQUEST;3 - Moderato;5;2;64;2506;10027;N.A.;;29/11/2024
INC019011884;SI;SERVICE REQUEST;5 - Pianificabile;2;1;97;2052;4104;N.A.;;29/11/2024
INC019012956;SI;SERVICE REQUEST;5 - Pianificabile;2;1;35;2136;4272;N.A.;;29/11/2024
INC019014356;NO;SERVICE REQUEST;3 - Moderato;4;1;3804;1920;5762;N.A.;;29/11/2024
INC019017655;SI;SERVICE REQUEST;3 - Moderato;12;4;18;1463;13170;N.A.;;30/11/2024
INC019022721;SI;SERVICE REQUEST;4 - Basso;2;1;53;1266;2533;N.A.;;02/12/2024
INC019025198;NO;SERVICE REQUEST;5 - Pianificabile;2;1;70;816;1632;N.A.;;02/12/2024
INC019025503;SI;SERVICE REQUEST;5 - Pianificabile;2;1;16;2007;4014;N.A.;;02/12/2024
INC019027931;SI;SERVICE REQUEST;5 - Pianificabile;6;3;52;1690;10141;N.A.;;02/12/2024
INC019028242;SI;SERVICE REQUEST;5 - Pianificabile;2;1;35;1474;2949;N.A.;;02/12/2024
INC019028810;NO;SERVICE REQUEST;4 - Basso;2;1;58;1489;2978;N.A.;;02/12/2024
INC019028914;SI;SERVICE REQUEST;5 - Pianificabile;2;1;51;2102;4204;N.A.;;02/12/2024
INC019032527;NO;SERVICE REQUEST;5 - Pianificabile;7;2;84;1195;5977;N.A.;;02/12/2024
INC019032726;SI;SERVICE REQUEST;5 - Pianificabile;2;1;1;4355;8710;N.A.;;02/12/2024
INC019033489;SI;SERVICE REQUEST;5 - Pianificabile;2;1;65;1442;2885;N.A.;;02/12/2024
INC019033911;NO;SERVICE REQUEST;3 - Moderato;4;1;41;466;1398;N.A.;;02/12/2024
INC019034852;NO;SERVICE REQUEST;4 - Basso;4;2;276;247;989;N.A.;;02/12/2024
INC019038708;SI;SERVICE REQUEST;5 - Pianificabile;2;1;141;1473;2947;N.A.;;03/12/2024
INC019038942;SI;SERVICE REQUEST;5 - Pianificabile;4;2;30;725;2900;N.A.;;03/12/2024
INC019039094;SI;SERVICE REQUEST;5 - Pianificabile;4;2;65;743;2973;N.A.;;03/12/2024
INC019039466;NO;SERVICE REQUEST;5 - Pianificabile;4;1;130;76;229;N.A.;;03/12/2024
INC019039837;SI;SERVICE REQUEST;5 - Pianificabile;2;1;58;1451;2903;N.A.;;03/12/2024
INC019040538;SI;SERVICE REQUEST;5 - Pianificabile;2;1;55;117;234;N.A.;;03/12/2024
INC019041014;SI;SERVICE REQUEST;5 - Pianificabile;2;1;5;3658;7316;N.A.;;03/12/2024
INC019042769;NO;SERVICE REQUEST;5 - Pianificabile;2;1;1;1425;2851;N.A.;;03/12/2024
INC019043437;SI;SERVICE REQUEST;5 - Pianificabile;2;1;40;1365;2730;N.A.;;03/12/2024
INC019043471;SI;SERVICE REQUEST;5 - Pianificabile;2;1;56;29;59;N.A.;;03/12/2024
INC019047143;SI;SERVICE REQUEST;5 - Pianificabile;2;1;2;166;332;N.A.;;03/12/2024
INC019047157;NO;SERVICE REQUEST;5 - Pianificabile;2;1;50;759;1519;N.A.;;03/12/2024
INC019048751;NO;SERVICE REQUEST;5 - Pianificabile;4;1;20;1344;4034;N.A.;;03/12/2024
INC019049684;SI;SERVICE REQUEST;5 - Pianificabile;2;1;33;830;1660;N.A.;;03/12/2024
INC019050161;NO;SERVICE REQUEST;3 - Moderato;6;1;819;1423;5693;N.A.;;03/12/2024
INC019056711;SI;SERVICE REQUEST;5 - Pianificabile;2;1;13;11;23;N.A.;;04/12/2024
INC019057735;SI;SERVICE REQUEST;5 - Pianificabile;2;1;47;596;1192;N.A.;;04/12/2024
INC019058941;SI;SERVICE REQUEST;5 - Pianificabile;2;1;29;58;117;N.A.;;04/12/2024
INC019060243;SI;SERVICE REQUEST;5 - Pianificabile;4;2;121;96;385;N.A.;;04/12/2024
INC019060903;SI;INCIDENT;5 - Pianificabile;8;4;8;920;7365;NO;34,75;04/12/2024
INC019062505;NO;SERVICE REQUEST;5 - Pianificabile;2;1;3;4864;9728;N.A.;;04/12/2024
INC019062602;SI;SERVICE REQUEST;5 - Pianificabile;2;1;119;87;175;N.A.;;04/12/2024
INC019062670;SI;SERVICE REQUEST;5 - Pianificabile;6;3;35;497;2985;N.A.;;04/12/2024
INC019063737;SI;SERVICE REQUEST;5 - Pianificabile;2;1;106;4962;9925;N.A.;;04/12/2024
INC019064416;SI;SERVICE REQUEST;5 - Pianificabile;2;1;62;33;66;N.A.;;04/12/2024
INC019064506;NO;SERVICE REQUEST;5 - Pianificabile;2;1;17;4337;8674;N.A.;;04/12/2024
INC019070070;NO;INCIDENT;5 - Pianificabile;4;1;20;2968;8904;NO;60,4;05/12/2024
INC019071223;NO;SERVICE REQUEST;5 - Pianificabile;2;1;6;4172;8345;N.A.;;05/12/2024
INC019071619;SI;SERVICE REQUEST;5 - Pianificabile;4;2;28;14;59;N.A.;;05/12/2024
INC019072085;NO;SERVICE REQUEST;3 - Moderato;2;1;17;2921;5842;N.A.;;05/12/2024
INC019072348;SI;SERVICE REQUEST;5 - Pianificabile;2;1;5;3686;7373;N.A.;;05/12/2024
INC019073656;SI;SERVICE REQUEST;5 - Pianificabile;2;1;166;83;167;N.A.;;05/12/2024
INC019074193;NO;SERVICE REQUEST;5 - Pianificabile;2;1;132;66;133;N.A.;;05/12/2024
INC019074600;NO;SERVICE REQUEST;5 - Pianificabile;4;1;114;1954;5862;N.A.;;05/12/2024
INC019075327;SI;SERVICE REQUEST;5 - Pianificabile;2;1;26;3594;7188;N.A.;;05/12/2024
INC019075530;NO;SERVICE REQUEST;5 - Pianificabile;5;2;28;641;2564;N.A.;;05/12/2024
INC019077289;SI;SERVICE REQUEST;5 - Pianificabile;2;1;20;10;20;N.A.;;05/12/2024
INC019077546;NO;SERVICE REQUEST;5 - Pianificabile;2;1;18;2777;5554;N.A.;;05/12/2024
INC019077665;NO;SERVICE REQUEST;5 - Pianificabile;2;1;13;605;1210;N.A.;;05/12/2024
INC019078318;SI;SERVICE REQUEST;3 - Moderato;4;1;832;290;870;N.A.;;05/12/2024
INC019082022;SI;SERVICE REQUEST;5 - Pianificabile;2;1;43;4891;9782;N.A.;;06/12/2024
INC019082687;SI;SERVICE REQUEST;5 - Pianificabile;2;1;7;2829;5658;N.A.;;06/12/2024
INC019083457;SI;SERVICE REQUEST;5 - Pianificabile;2;1;17;3728;7456;N.A.;;06/12/2024
INC019083822;NO;SERVICE REQUEST;5 - Pianificabile;2;1;0;3603;7206;N.A.;;06/12/2024
INC019085122;SI;SERVICE REQUEST;5 - Pianificabile;2;1;57;2290;4581;N.A.;;06/12/2024
INC019086214;SI;SERVICE REQUEST;5 - Pianificabile;4;2;24;1086;4347;N.A.;;06/12/2024
INC019090723;SI;SERVICE REQUEST;5 - Pianificabile;4;1;4;11;34;N.A.;;06/12/2024
INC019097843;SI;SERVICE REQUEST;5 - Pianificabile;2;1;125;2741;5483;N.A.;;09/12/2024
INC019099500;SI;SERVICE REQUEST;5 - Pianificabile;2;1;1;2947;5895;N.A.;;09/12/2024
INC019101309;SI;SERVICE REQUEST;5 - Pianificabile;2;1;101;775;1551;N.A.;;09/12/2024
INC019101940;SI;SERVICE REQUEST;5 - Pianificabile;2;1;27;4390;8781;N.A.;;09/12/2024
INC019103247;SI;SERVICE REQUEST;5 - Pianificabile;2;1;6;4347;8694;N.A.;;09/12/2024
INC019104551;SI;SERVICE REQUEST;5 - Pianificabile;2;1;63;2777;5554;N.A.;;09/12/2024
INC019105767;SI;SERVICE REQUEST;5 - Pianificabile;2;1;10;4301;8602;N.A.;;09/12/2024
INC019107027;SI;SERVICE REQUEST;5 - Pianificabile;2;1;5;4232;8464;N.A.;;09/12/2024
INC019107454;SI;SERVICE REQUEST;5 - Pianificabile;2;1;55;4229;8458;N.A.;;09/12/2024
INC019108716;NO;SERVICE REQUEST;3 - Moderato;4;2;14;8;32;N.A.;;09/12/2024
INC019109328;SI;INCIDENT;5 - Pianificabile;4;2;23;443;1773;SI;;09/12/2024
INC019111568;SI;SERVICE REQUEST;5 - Pianificabile;2;1;23;4245;8491;N.A.;;10/12/2024
INC019111928;SI;SERVICE REQUEST;5 - Pianificabile;2;1;6;817;1634;N.A.;;10/12/2024
INC019112440;SI;SERVICE REQUEST;5 - Pianificabile;2;1;33;2203;4407;N.A.;;10/12/2024
INC019113617;SI;SERVICE REQUEST;5 - Pianificabile;2;1;3;4204;8409;N.A.;;10/12/2024
INC019114905;NO;SERVICE REQUEST;5 - Pianificabile;2;1;26;1407;2814;N.A.;;10/12/2024
INC019115016;SI;SERVICE REQUEST;5 - Pianificabile;2;1;4;1315;2630;N.A.;;10/12/2024
INC019115775;SI;SERVICE REQUEST;5 - Pianificabile;4;2;34;2493;9972;N.A.;;10/12/2024
INC019115902;SI;SERVICE REQUEST;5 - Pianificabile;2;1;157;726;1452;N.A.;;10/12/2024
INC019116434;SI;SERVICE REQUEST;5 - Pianificabile;2;1;129;712;1424;N.A.;;10/12/2024
INC019117031;SI;SERVICE REQUEST;5 - Pianificabile;2;1;29;1319;2639;N.A.;;10/12/2024
INC019117157;SI;SERVICE REQUEST;5 - Pianificabile;2;1;49;816;1632;N.A.;;10/12/2024
INC019118485;SI;SERVICE REQUEST;5 - Pianificabile;2;1;1;1259;2518;N.A.;;10/12/2024
INC019118740;SI;SERVICE REQUEST;5 - Pianificabile;2;1;11;28;57;N.A.;;10/12/2024
INC019118965;SI;SERVICE REQUEST;5 - Pianificabile;2;1;36;1331;2662;N.A.;;10/12/2024
INC019119068;SI;SERVICE REQUEST;5 - Pianificabile;2;1;3;1252;2505;N.A.;;10/12/2024
INC019119136;SI;SERVICE REQUEST;5 - Pianificabile;2;1;35;2706;5412;N.A.;;10/12/2024
INC019119315;SI;SERVICE REQUEST;5 - Pianificabile;2;1;119;684;1369;N.A.;;10/12/2024
INC019119449;SI;SERVICE REQUEST;5 - Pianificabile;2;1;60;30;61;N.A.;;10/12/2024
INC019120278;SI;SERVICE REQUEST;5 - Pianificabile;2;1;27;636;1273;N.A.;;10/12/2024
INC019120568;SI;SERVICE REQUEST;5 - Pianificabile;2;1;20;1220;2440;N.A.;;10/12/2024
INC019120921;SI;SERVICE REQUEST;5 - Pianificabile;2;1;19;543;1087;N.A.;;10/12/2024
INC019121200;SI;SERVICE REQUEST;5 - Pianificabile;4;2;21;304;1218;N.A.;;10/12/2024
INC019122490;SI;SERVICE REQUEST;5 - Pianificabile;2;1;7;6;12;N.A.;;10/12/2024
INC019122640;SI;SERVICE REQUEST;5 - Pianificabile;2;1;26;713;1426;N.A.;;10/12/2024
INC019125772;SI;SERVICE REQUEST;5 - Pianificabile;2;1;82;174;349;N.A.;;11/12/2024
INC019126347;SI;SERVICE REQUEST;5 - Pianificabile;4;2;22;256;1026;N.A.;;11/12/2024
INC019126704;SI;SERVICE REQUEST;5 - Pianificabile;2;1;99;154;308;N.A.;;11/12/2024
INC019126746;SI;SERVICE REQUEST;5 - Pianificabile;2;1;76;38;77;N.A.;;11/12/2024
INC019128345;SI;SERVICE REQUEST;5 - Pianificabile;4;2;89;390;1561;N.A.;;11/12/2024
INC019128630;SI;SERVICE REQUEST;5 - Pianificabile;2;1;116;60;120;N.A.;;11/12/2024
INC019129826;SI;INCIDENT;5 - Pianificabile;2;1;46;542;1084;SI;;11/12/2024
INC019131195;NO;SERVICE REQUEST;5 - Pianificabile;2;1;104;626;1253;N.A.;;11/12/2024
INC019131412;NO;SERVICE REQUEST;5 - Pianificabile;2;1;10;15;30;N.A.;;11/12/2024
INC019131599;NO;SERVICE REQUEST;5 - Pianificabile;2;1;3;51;102;N.A.;;11/12/2024
INC019133356;NO;SERVICE REQUEST;5 - Pianificabile;2;1;30;15;31;N.A.;;11/12/2024
INC019133403;NO;SERVICE REQUEST;5 - Pianificabile;2;1;27;544;1088;N.A.;;11/12/2024
INC019138823;NO;SERVICE REQUEST;5 - Pianificabile;4;2;97;334;1338;N.A.;;12/12/2024
INC019141687;NO;SERVICE REQUEST;5 - Pianificabile;11;3;7;930;7440;N.A.;;12/12/2024
INC019141750;SI;SERVICE REQUEST;5 - Pianificabile;2;1;34;4903;9806;N.A.;;12/12/2024
INC019142649;SI;SERVICE REQUEST;5 - Pianificabile;10;5;28;15;153;N.A.;;12/12/2024
INC019142811;SI;SERVICE REQUEST;5 - Pianificabile;2;1;128;632;1264;N.A.;;12/12/2024
INC019147898;SI;SERVICE REQUEST;5 - Pianificabile;6;3;33;799;4799;N.A.;;12/12/2024
INC019148547;SI;SERVICE REQUEST;5 - Pianificabile;2;1;6;8;16;N.A.;;12/12/2024
INC019149763;NO;SERVICE REQUEST;3 - Moderato;4;1;842;2284;6854;N.A.;;12/12/2024
INC019154329;SI;SERVICE REQUEST;5 - Pianificabile;2;1;7;10;20;N.A.;;13/12/2024
INC019157211;SI;SERVICE REQUEST;5 - Pianificabile;2;1;48;77;154;N.A.;;13/12/2024
INC019158507;SI;SERVICE REQUEST;5 - Pianificabile;8;4;47;49;395;N.A.;;13/12/2024
INC019159156;NO;SERVICE REQUEST;3 - Moderato;4;1;1;1876;5630;N.A.;;13/12/2024
INC019169110;NO;SERVICE REQUEST;5 - Pianificabile;2;1;11;570;1140;N.A.;;16/12/2024
INC019170459;SI;SERVICE REQUEST;5 - Pianificabile;2;1;23;91;182;N.A.;;16/12/2024
INC019171720;SI;SERVICE REQUEST;5 - Pianificabile;2;1;44;90;180;N.A.;;16/12/2024
INC019172786;SI;SERVICE REQUEST;5 - Pianificabile;2;1;30;627;1255;N.A.;;16/12/2024
INC019176779;SI;SERVICE REQUEST;5 - Pianificabile;4;2;36;68;275;N.A.;;16/12/2024
INC019178271;SI;SERVICE REQUEST;3 - Moderato;2;1;8;25;51;N.A.;;16/12/2024
INC019178896;SI;SERVICE REQUEST;5 - Pianificabile;2;1;7;4;9;N.A.;;16/12/2024
INC019179373;SI;SERVICE REQUEST;5 - Pianificabile;4;2;8;1198;4795;N.A.;;16/12/2024
INC019179473;SI;SERVICE REQUEST;5 - Pianificabile;2;1;15;74;148;N.A.;;16/12/2024
INC019179963;SI;SERVICE REQUEST;5 - Pianificabile;2;1;13;25;51;N.A.;;16/12/2024
INC019180167;NO;SERVICE REQUEST;3 - Moderato;4;1;918;388;1164;N.A.;;16/12/2024
INC019186835;SI;SERVICE REQUEST;5 - Pianificabile;2;1;16;59;118;N.A.;;17/12/2024
INC019188357;SI;SERVICE REQUEST;5 - Pianificabile;2;1;32;95;190;N.A.;;17/12/2024
